instance dfasat dfainductor dfainductor2
34_1700_61 1000 1000 533.86
34_1700_62 1000 562.71 427.1
34_1700_63 1000 1000 1000
34_1700_64 1000 1000 1000
34_1700_65 1000 1000 548.97
34_1700_67 1000 1000 1000
34_1700_68 1000 598.68 1000
34_1700_69 1000 1000 541.23
34_1700_7 1000 1000 1000
34_1700_70 1000 1000 1000
34_1700_71 1000 1000 1000
34_1700_72 1000 1000 1000
34_1700_73 1000 1000 1000
34_1700_75 1000 1000 545.42
34_1700_77 1000 1000 1000
34_1700_78 1000 1000 575.22
34_1700_79 1000 1000 537.72
34_1700_8 1000 1000 578.17
34_1700_80 1000 1000 526.58
34_1700_81 1000 1000 539.33
34_1700_82 1000 1000 566.19
34_1700_83 1000 1000 1000
34_1700_84 1000 1000 593.35
34_1700_85 1000 1000 1000
34_1700_86 1000 1000 1000
34_1700_87 1000 1000 519.33
34_1700_88 1000 1000 1000
34_1700_89 1000 1000 1000
34_1700_92 1000 1000 566.3
34_1700_93 1000 1000 577.26
34_1700_95 1000 515.42 529.14
34_1700_96 1000 1000 1000
34_1700_97 1000 1000 567.87
34_1700_98 1000 1000 593.47
34_1700_99 1000 1000 1000
36_1800_0 1000 1000 584.64
36_1800_1 1000 1000 1000
36_1800_10 1000 1000 1000
36_1800_100 1000 1000 1000
36_1800_102 1000 1000 1000
36_1800_103 1000 1000 1000
36_1800_104 1000 1000 1000
36_1800_105 1000 1000 1000
36_1800_106 1000 1000 571.85
36_1800_107 1000 1000 1000
36_1800_108 1000 1000 1000
36_1800_109 1000 1000 1000
36_1800_110 1000 1000 1000
36_1800_111 1000 1000 1000
36_1800_112 1000 1000 595.28
36_1800_113 1000 1000 1000
36_1800_114 1000 1000 1000
36_1800_115 1000 1000 1000
36_1800_117 1000 1000 1000
36_1800_118 1000 1000 1000
36_1800_12 1000 1000 590.18
36_1800_121 1000 1000 1000
36_1800_122 1000 1000 1000
36_1800_123 1000 1000 1000
36_1800_124 1000 1000 1000
36_1800_125 1000 1000 1000
36_1800_126 1000 1000 1000
36_1800_127 1000 1000 1000
36_1800_128 1000 1000 1000
36_1800_129 1000 1000 1000
36_1800_14 1000 1000 541.73
36_1800_15 1000 1000 1000
36_1800_16 1000 1000 1000
36_1800_18 1000 1000 1000
36_1800_19 1000 1000 1000
36_1800_20 1000 1000 1000
36_1800_21 1000 1000 1000
36_1800_22 1000 1000 1000
36_1800_25 1000 1000 1000
36_1800_27 1000 1000 1000
36_1800_28 1000 1000 1000
36_1800_29 1000 1000 1000
36_1800_3 1000 1000 1000
36_1800_30 1000 1000 1000
36_1800_31 1000 1000 1000
36_1800_32 1000 1000 1000
36_1800_33 1000 1000 1000
36_1800_34 1000 1000 1000
36_1800_35 1000 1000 1000
36_1800_36 1000 1000 1000
36_1800_37 1000 1000 1000
36_1800_38 1000 1000 1000
36_1800_39 1000 1000 1000
36_1800_40 1000 1000 1000
36_1800_41 1000 1000 1000
36_1800_42 1000 1000 526.36
36_1800_45 1000 1000 1000
36_1800_46 1000 1000 1000
36_1800_49 1000 1000 1000
36_1800_5 1000 1000 1000
36_1800_50 1000 1000 1000
36_1800_52 1000 1000 1000
36_1800_55 1000 1000 1000
36_1800_56 1000 1000 1000
36_1800_57 1000 1000 1000
36_1800_58 1000 1000 565.73
36_1800_6 1000 1000 1000
36_1800_60 1000 1000 586.42
36_1800_61 1000 1000 1000
36_1800_62 1000 1000 1000
36_1800_64 1000 1000 517.03
36_1800_65 1000 1000 1000
36_1800_67 1000 1000 1000
36_1800_69 1000 1000 1000
36_1800_7 1000 1000 1000
36_1800_70 1000 1000 1000
36_1800_71 1000 1000 1000
36_1800_73 1000 1000 1000
36_1800_74 1000 1000 1000
36_1800_75 1000 1000 564.67
36_1800_76 1000 1000 1000
36_1800_78 1000 1000 1000
36_1800_80 1000 1000 448.44
36_1800_81 1000 1000 1000
36_1800_83 1000 1000 1000
36_1800_84 1000 1000 1000
36_1800_85 1000 1000 588.46
36_1800_86 1000 1000 1000
36_1800_87 1000 1000 1000
36_1800_89 1000 1000 1000
36_1800_9 1000 1000 1000
36_1800_90 1000 1000 1000
36_1800_92 1000 1000 1000
36_1800_93 1000 1000 1000
36_1800_94 1000 1000 1000
36_1800_95 1000 1000 1000
36_1800_96 1000 1000 1000
36_1800_97 1000 1000 1000
36_1800_98 1000 1000 1000
36_1800_99 1000 1000 1000
38_1900_0 1000 1000 1000
38_1900_1 1000 1000 1000
38_1900_10 1000 1000 1000
38_1900_11 1000 1000 1000
38_1900_12 1000 1000 1000
38_1900_13 1000 1000 1000
38_1900_14 1000 1000 1000
38_1900_15 1000 1000 1000
38_1900_16 1000 1000 1000
38_1900_17 1000 1000 1000
38_1900_18 1000 1000 1000
38_1900_19 1000 1000 1000
38_1900_2 1000 1000 1000
38_1900_20 1000 1000 1000
38_1900_21 1000 1000 1000
38_1900_22 1000 1000 1000
38_1900_23 1000 1000 1000
38_1900_24 1000 1000 1000
38_1900_25 1000 1000 1000
38_1900_26 1000 1000 1000
38_1900_27 1000 1000 1000
38_1900_28 1000 1000 1000
38_1900_29 1000 1000 1000
38_1900_3 1000 1000 1000
38_1900_30 1000 1000 1000
38_1900_31 1000 1000 1000
38_1900_32 1000 1000 1000
38_1900_33 1000 1000 1000
38_1900_34 1000 1000 1000
38_1900_35 1000 1000 1000
38_1900_36 1000 1000 1000
38_1900_37 1000 1000 1000
38_1900_38 1000 1000 1000
38_1900_39 1000 1000 1000
38_1900_4 1000 1000 1000
38_1900_40 1000 1000 1000
38_1900_41 1000 1000 1000
38_1900_42 1000 1000 1000
38_1900_43 1000 1000 1000
38_1900_44 1000 1000 1000
38_1900_45 1000 1000 1000
38_1900_46 1000 1000 1000
38_1900_47 1000 1000 1000
38_1900_48 1000 1000 1000
38_1900_49 1000 1000 1000
38_1900_5 1000 1000 1000
38_1900_50 1000 1000 1000
38_1900_51 1000 1000 1000
38_1900_52 1000 1000 1000
38_1900_53 1000 1000 1000
38_1900_54 1000 1000 1000
38_1900_55 1000 1000 1000
38_1900_56 1000 1000 1000
38_1900_57 1000 1000 1000
38_1900_58 1000 1000 1000
38_1900_59 1000 1000 1000
38_1900_6 1000 1000 1000
38_1900_60 1000 1000 1000
38_1900_61 1000 1000 1000
38_1900_62 1000 1000 1000
38_1900_63 1000 1000 1000
38_1900_64 1000 1000 1000
38_1900_65 1000 1000 1000
38_1900_66 1000 1000 1000
38_1900_67 1000 1000 1000
38_1900_68 1000 1000 1000
38_1900_69 1000 1000 1000
38_1900_7 1000 1000 1000
38_1900_70 1000 1000 1000
38_1900_71 1000 1000 1000
38_1900_72 1000 1000 1000
38_1900_73 1000 1000 1000
38_1900_74 1000 1000 1000
38_1900_75 1000 1000 1000
38_1900_76 1000 1000 1000
38_1900_77 1000 1000 1000
38_1900_78 1000 1000 1000
38_1900_79 1000 1000 1000
38_1900_8 1000 1000 1000
38_1900_80 1000 1000 1000
38_1900_81 1000 1000 1000
38_1900_82 1000 1000 1000
38_1900_83 1000 1000 1000
38_1900_84 1000 1000 1000
38_1900_85 1000 1000 1000
38_1900_86 1000 1000 1000
38_1900_87 1000 1000 1000
38_1900_88 1000 1000 1000
38_1900_89 1000 1000 1000
38_1900_9 1000 1000 1000
38_1900_90 1000 1000 1000
38_1900_91 1000 1000 1000
38_1900_92 1000 1000 1000
38_1900_93 1000 1000 1000
38_1900_94 1000 1000 1000
38_1900_95 1000 1000 1000
38_1900_96 1000 1000 1000
38_1900_97 1000 1000 1000
38_1900_98 1000 1000 1000
38_1900_99 1000 1000 1000
