instance dfasat dfainductor dfainductor2
22_1100_72 1000 1000 1000
22_1100_74 1000 167.22 89.16
22_1100_75 511.53 99.86 77.4
22_1100_76 1000 197.63 76.29
22_1100_77 1000 200.64 93.81
22_1100_79 1000 146.62 181.69
22_1100_8 1000 106.52 105.04
22_1100_81 1000 113.84 90.34
22_1100_82 1000 190.07 138.15
22_1100_83 1000 154.87 69.8
22_1100_84 1000 170.7 83.06
22_1100_86 1000 210.42 146.5
22_1100_87 458.65 145.84 85.03
22_1100_88 566.49 157.73 85.1
22_1100_89 1000 119.8 69.62
22_1100_9 1000 106.26 105.99
22_1100_90 1000 195.93 150.5
22_1100_91 1000 180.83 91.94
22_1100_92 393.01 138.0 64.5
22_1100_93 1000 149.18 84.67
22_1100_94 1000 154.25 81.05
22_1100_95 1000 149.02 76.86
22_1100_96 1000 144.91 124.0
22_1100_97 1000 143.53 127.78
22_1100_98 1000 166.96 87.13
22_1100_99 1000 191.25 151.2
24_1200_1 1000 189.93 140.79
24_1200_10 1000 155.82 142.47
24_1200_100 1000 215.63 147.84
24_1200_101 1000 287.77 262.48
24_1200_102 1000 203.84 232.66
24_1200_103 1000 152.43 130.14
24_1200_104 1000 239.14 105.86
24_1200_105 395.82 193.17 156.49
24_1200_106 1000 170.01 137.95
24_1200_107 524.76 153.78 162.74
24_1200_108 1000 204.24 192.17
24_1200_109 1000 203.84 172.05
24_1200_111 1000 160.35 152.51
24_1200_113 1000 200.16 136.39
24_1200_114 1000 172.01 169.79
24_1200_116 1000 193.15 164.11
24_1200_118 1000 179.29 126.86
24_1200_119 1000 223.85 100.04
24_1200_12 1000 205.57 110.14
24_1200_120 1000 223.21 109.55
24_1200_121 1000 184.47 161.67
24_1200_122 1000 150.0 129.85
24_1200_123 1000 178.64 138.48
24_1200_126 1000 189.29 102.24
24_1200_127 1000 231.13 80.39
24_1200_128 1000 177.95 119.85
24_1200_129 1000 207.05 119.12
24_1200_13 1000 189.1 128.08
24_1200_14 1000 198.67 127.75
24_1200_16 1000 158.52 137.7
24_1200_18 1000 192.8 148.55
24_1200_19 1000 190.32 131.11
24_1200_2 1000 166.5 146.91
24_1200_20 1000 174.93 154.37
24_1200_21 1000 202.19 129.9
24_1200_22 1000 141.76 131.87
24_1200_23 1000 174.01 161.03
24_1200_24 1000 176.57 131.48
24_1200_25 1000 132.83 103.66
24_1200_27 1000 170.16 111.21
24_1200_28 1000 136.46 119.32
24_1200_29 1000 169.1 130.27
24_1200_3 1000 174.85 122.94
24_1200_30 1000 205.86 160.18
24_1200_32 1000 175.94 111.32
24_1200_33 1000 182.43 163.03
24_1200_34 1000 165.69 153.16
24_1200_35 1000 208.85 221.36
24_1200_37 1000 160.14 148.53
24_1200_38 1000 212.83 165.76
24_1200_39 1000 178.81 125.44
24_1200_4 1000 167.37 135.72
24_1200_40 1000 162.05 122.58
24_1200_42 1000 175.44 105.01
24_1200_43 1000 161.25 116.31
24_1200_44 1000 202.43 98.23
24_1200_45 1000 195.92 110.11
24_1200_46 1000 151.61 128.26
24_1200_47 1000 199.77 209.97
24_1200_48 1000 170.8 140.83
24_1200_49 1000 157.85 155.52
24_1200_5 1000 187.52 225.3
24_1200_52 1000 221.14 124.57
24_1200_53 1000 186.95 171.13
24_1200_54 1000 145.48 133.76
24_1200_56 1000 128.62 141.53
24_1200_57 1000 231.0 123.44
24_1200_59 1000 221.66 130.77
24_1200_6 1000 143.76 108.78
24_1200_61 1000 153.23 106.5
24_1200_62 1000 164.99 124.76
24_1200_64 1000 160.72 117.17
24_1200_65 1000 199.8 92.58
24_1200_66 1000 157.61 145.34
24_1200_67 1000 189.89 112.11
24_1200_69 1000 175.1 88.99
24_1200_7 1000 216.6 155.31
24_1200_71 1000 214.41 156.23
24_1200_72 1000 149.57 153.72
24_1200_74 1000 147.09 132.23
24_1200_75 1000 132.72 91.24
24_1200_76 1000 209.9 149.02
24_1200_77 1000 140.4 120.81
24_1200_8 1000 194.28 99.18
24_1200_80 1000 130.6 96.64
24_1200_81 1000 191.23 251.49
24_1200_82 1000 193.99 87.45
24_1200_83 1000 165.55 145.98
24_1200_85 592.33 196.32 136.66
24_1200_87 1000 152.46 136.91
24_1200_9 1000 192.21 94.97
24_1200_90 1000 149.92 109.66
24_1200_91 1000 248.75 187.27
24_1200_92 450.63 183.85 86.53
24_1200_93 1000 160.45 146.45
24_1200_94 1000 220.85 133.67
24_1200_95 1000 182.99 114.74
24_1200_96 1000 152.66 134.9
24_1200_98 1000 129.66 80.93
24_1200_99 1000 194.73 134.22
26_1300_0 1000 176.77 124.34
26_1300_1 1000 237.29 206.25
26_1300_10 1000 223.38 179.37
26_1300_100 1000 312.3 209.41
26_1300_104 1000 240.44 148.96
26_1300_108 1000 267.79 261.24
26_1300_109 1000 212.62 203.7
26_1300_11 1000 230.69 194.9
26_1300_110 1000 312.05 255.35
26_1300_111 1000 187.72 114.75
26_1300_112 1000 310.15 240.93
26_1300_113 1000 1000 1000
26_1300_115 1000 247.03 201.56
26_1300_116 1000 290.61 320.22
26_1300_118 1000 265.6 196.77
26_1300_12 1000 173.98 126.26
26_1300_120 1000 341.89 191.2
26_1300_121 1000 370.21 321.4
26_1300_122 1000 246.59 237.43
26_1300_123 1000 207.71 241.16
26_1300_124 1000 258.25 208.66
26_1300_125 1000 241.15 165.52
26_1300_126 1000 257.87 167.91
26_1300_127 1000 220.83 140.5
26_1300_128 1000 212.92 169.19
26_1300_129 1000 195.89 225.29
26_1300_13 1000 221.87 177.39
26_1300_131 1000 180.43 181.12
26_1300_132 1000 262.68 198.67
26_1300_134 1000 177.59 160.24
26_1300_137 1000 216.54 203.94
26_1300_14 1000 225.17 210.32
26_1300_16 1000 240.49 191.18
26_1300_17 1000 228.9 155.35
26_1300_18 1000 165.4 138.04
26_1300_19 1000 196.15 192.77
26_1300_21 1000 232.78 197.9
26_1300_22 1000 234.39 214.28
26_1300_23 1000 242.71 205.23
26_1300_25 1000 241.4 199.18
26_1300_27 1000 195.68 141.06
26_1300_28 1000 235.26 191.09
26_1300_3 1000 255.97 159.53
26_1300_31 1000 252.95 260.74
26_1300_32 1000 222.97 182.54
26_1300_33 1000 209.93 195.64
26_1300_34 1000 184.66 171.42
26_1300_35 1000 230.97 212.76
26_1300_36 1000 218.48 187.9
26_1300_37 1000 201.13 218.0
26_1300_38 1000 272.9 221.31
26_1300_39 1000 199.95 172.82
26_1300_4 1000 218.68 197.4
26_1300_40 1000 240.92 224.1
26_1300_41 1000 238.85 219.47
26_1300_42 1000 225.38 155.0
26_1300_43 1000 186.45 175.07
26_1300_44 1000 210.06 150.39
26_1300_45 1000 248.36 227.52
26_1300_46 1000 226.39 199.29
26_1300_47 1000 235.96 172.82
26_1300_48 1000 197.51 169.26
26_1300_5 1000 238.51 209.98
26_1300_50 1000 158.09 183.37
26_1300_54 1000 324.92 258.42
26_1300_55 1000 244.17 236.0
26_1300_56 1000 273.95 271.92
26_1300_58 1000 298.82 237.86
26_1300_59 1000 213.52 230.7
26_1300_60 1000 278.91 144.48
26_1300_61 1000 287.38 196.43
26_1300_62 1000 262.19 200.47
26_1300_63 1000 316.84 241.52
26_1300_65 1000 272.29 189.57
26_1300_67 1000 305.31 272.86
26_1300_68 1000 291.77 237.92
26_1300_7 1000 180.97 206.25
26_1300_72 1000 283.89 207.61
26_1300_73 1000 348.94 343.63
26_1300_74 1000 249.54 154.85
26_1300_75 1000 257.52 186.9
26_1300_76 1000 226.28 172.58
26_1300_77 1000 248.86 236.06
26_1300_78 1000 279.03 299.0
26_1300_79 1000 289.15 247.16
26_1300_8 1000 243.76 161.98
26_1300_80 1000 269.18 195.6
26_1300_82 1000 303.3 211.8
26_1300_84 1000 303.47 213.5
26_1300_85 1000 282.49 203.66
26_1300_87 1000 322.33 246.9
26_1300_88 1000 269.35 170.61
26_1300_89 1000 323.98 292.31
26_1300_9 1000 211.49 147.94
26_1300_90 1000 355.61 301.3
26_1300_91 1000 301.55 259.45
26_1300_94 1000 268.66 277.45
26_1300_97 1000 283.91 137.15
26_1300_98 1000 194.51 185.3
26_1300_99 1000 300.0 272.46
28_1400_0 1000 319.18 251.14
28_1400_1 1000 437.44 413.46
28_1400_10 1000 279.71 264.77
28_1400_100 1000 324.33 185.07
28_1400_101 1000 327.32 295.23
28_1400_102 1000 290.66 202.1
28_1400_103 1000 235.89 205.31
28_1400_104 1000 304.73 236.35
28_1400_105 1000 339.37 294.72
28_1400_108 1000 338.3 261.46
28_1400_109 1000 248.41 270.42
28_1400_11 1000 318.29 248.4
28_1400_110 1000 326.68 274.34
28_1400_112 1000 308.03 301.87
28_1400_113 1000 309.18 256.18
28_1400_114 1000 320.92 303.18
28_1400_115 1000 310.74 270.59
28_1400_116 1000 370.25 318.03
28_1400_117 1000 323.67 269.61
28_1400_118 1000 318.42 264.2
28_1400_119 1000 283.09 237.0
28_1400_120 1000 318.38 260.16
28_1400_121 1000 298.32 313.13
28_1400_122 1000 309.44 310.54
28_1400_123 1000 285.47 239.88
28_1400_124 1000 338.86 330.31
